title,subtitle,published,read,published_on,link,image_id,description
Understanding Vertical Pod Autoscaling in Kubernetes,And why you should not use it in auto mode,Sep 21,7 min read,Better Programming,https://medium.com/better-programming/understanding-vertical-pod-autoscaling-in-kubernetes-6d53e6d96ef3?source=friends_link&sk=fd04861a4443fb8210df713d0d6d64d5,1*E5WkrPKmWDyFqYmryYkxMw.jpeg,"<p>Vertical Pod Autoscaling is one of those cool Kubernetes features that are not used enough — and for good reason. Kubernetes was built for horizontal scaling and, at least initially, it didn’t seem a great idea to scale a pod vertically. Instead, it made more sense to create a copy of the Pod if you want to handle the additional load.</p><p>However, that required extensive resource optimisation, and if you didn’t tune your Pod appropriately, by providing a proper resource request and limits configuration, you may either end up evicting your pods too often or wasting many useful resources. …</p>"
How to Run Highly Available Kafka on Kubernetes,"With Helm charts, stateful sets, and dynamic provisioning",Sep-11,5 min read,Better Programming,https://medium.com/better-programming/how-to-run-highly-available-kafka-on-kubernetes-a1824db8a3e2?source=friends_link&sk=31ac2c8f3fa0be4877717a61e7d7dcfc,0*kcupAoOEPq7oIE4N,"<p>Apache Kafka is one of the most popular event-based distributed streaming platforms. LinkedIn first developed it, and technology leaders such as Uber, Netflix, Slack, Coursera, Spotify, and others currently use it.</p><p>Though very powerful, Kafka is equally complex and requires a highly available robust platform to run on. Most of the time, engineers struggle to feed and water the Kafka servers, and standing one up and maintaining it is not a piece of cake.</p><p>With microservices in vogue and most companies adopting distributed computing, standing up Kafka as the core messaging backbone has its advantages. …</p>"
Save Up to 50% of Your Kubernetes Costs With Preemptible Instances,Running Kubernetes Ingress controllers on preemptible instances on the Google Kubernetes Engine,Sep-7,7 min read,In Better Programming,https://medium.com/better-programming/save-up-to-50-of-your-kubernetes-costs-with-preemptible-instances-bdade99ccd39?source=friends_link&sk=bcc19f368de8b44c0ae67bbcfed2a255,1*D7L94cD5_-g9DzmHBhfMaw.jpeg,"<p>Containers have come a long way, and Kubernetes isn’t just changing the technology landscape — but also the organisational mindset. With more and more companies moving towards cloud-native technologies, the demand for containers and Kubernetes is ever-increasing.</p><p>Kubernetes runs on servers, and servers can either be physical or virtual. With cloud taking a prominent role in the current IT landscape, it’s become much easier to implement near-infinite scaling and to cost optimise your workloads.</p><p>Gone are the days when servers were bought in advance, provisioned in racks, and maintained manually. With the cloud, you can spin up and spin down a virtual machine in minutes and pay only for the infrastructure you provision. …</p>"
Go Serverless on Kubernetes With Knative,How Knative is the best of both worlds,Aug-28,7 min read,In Better Programming,https://medium.com/better-programming/go-serverless-on-kubernetes-with-knative-b3aff3dbdffa?source=friends_link&sk=da77070cd84e7cb75146db45ec6fa29a,1*BM7ft0C4Ve3qsipgUCJwig.png,"<p>If you’re already using Kubernetes, you’ve probably heard about serverless. While both platforms are scalable, serverless goes the extra mile by providing developers with running code without worrying about infrastructure and saves on infra costs by virtually scaling your application instances from zero.</p><p>Kubernetes, on the other hand, provides its advantages with zero limitations, following a traditional hosting model and advanced traffic management techniques that help you do things - like blue-green deployments and A/B testing.</p><p>Knative is an attempt to create the best of the two worlds. As an open-source cloud-native platform, it enables you to run your serverless workloads on Kubernetes, providing all Kubernetes capabilities, plus the simplicity and flexibility of serverless. ...</p>"
Measuring Site Reliability,"Demystifying SLO, SLI, SLA, and Error Budgets",Aug-24,7 min read,In Better Programming,https://medium.com/better-programming/measuring-site-reliability-9745617d206c?source=friends_link&sk=e3eff22fe0dab55d23e80193f6bde0ff,0*5v7ojB7Z-2uU0jCc,"<p>We have all been in the Dev vs. Ops world where the Dev and Ops teams had different objectives, rules, and priorities. Most of the time, they opposed each other because one’s interest was the other’s problem.</p><p>Now we have DevOps. In the words of Andrew Shafer and Patrick Debois, it is “a software engineering culture and practice, that aims at unifying software development and software operation.”</p><p>Site reliability engineering implements DevOps by fostering shared ownership, applying the same tooling and techniques to never fail the same way twice while accepting failures. ...</p>"
4 Reasons to Use Kubernetes in the Serverless Era,Is serverless a replacement for Kubernetes?,Aug-13,4 min read,In Better Programming,https://medium.com/better-programming/4-reasons-to-use-kubernetes-in-the-serverless-era-cf77ea3b018b?source=friends_link&sk=55f13f50a43bd3b756a54535721adca2,0*T-jwYbtS44Rm9ccG,"<p>Serverless is cool and has taken the tech world by the storm. It is evolving quite a bit and growing at a tremendous pace. The reasons for its success are its developer-friendliness, ease of running microservices, and lower infrastructure overhead.</p><p>Serverless, or FaaS (Functions as a service), is a technology that helps you run code within dynamically managed abstracted servers. The cloud provider provides a provision to run your stateless event-triggered system without worrying about the underlying infra.</p><p>Some of the popular serverless offerings are AWS Lamba, Google Cloud Functions, and Azure Functions.</p><p>Built for scalability, it allows multiple parallel invocations of your functions, and you pay for the number of executions instead of allocated resources. ...</p>"
Tips for Rightsizing Your Kubernetes Cluster,A few large nodes or many small nodes?,Aug-10,8 min read,In Better Programming,https://medium.com/better-programming/tips-for-rightsizing-your-kubernetes-cluster-e0a8f1093d8d?source=friends_link&sk=63d98a3e914298448e4f684f54efa51b,1*9jZLjslLwbMW18RWPd-9uQ.jpeg,"<p>Managing a Kubernetes cluster is not a one-size-fits-all problem. There are many ways to rightsize your cluster, and it is vital to design your application for reliability and robustness.</p><p>As site-reliability and DevOps engineers, you often need to understand the requirements for the applications you will be running on your cluster and then consider various factors while designing it.</p><p>Choosing the correct node size is critical when building applications for scale. ...</p>"
Designing Highly Available Container Applications Kubernetes,With pod disruption budgets and anti-affinity,Aug-04,5 min read,In Better Programming,https://medium.com/better-programming/designing-highly-available-container-applications-on-kubernetes-50455716b76f?source=friends_link&sk=965d54623f26d256a0fdae5724befaa2,0*BAhglWQXDtTQ2o9L,"<p>A multi-node Kubernetes cluster is highly available by design. However, that does not mean that your container applications would not be disrupted if something terrible happened with your cluster.</p><p>Kubernetes allocates a pod to a node based on several factors, such as resource availability, node availability, taints, tolerations, and affinity and anti-affinity rules. In the default setup, Kubernetes can schedule a pod on any node that meets these constraints.</p><p>Kubernetes does not try for the high availability of your applications by default. If you spin up three replicas of your pod, it will not necessarily spread them across all worker nodes. ...</p>"
My Experience With the CNCF Certified Kubernetes Administrator Exam,Tips for cracking the Certified Kubernetes Administrator Exam,Jul-31,9 min read,In The Innovation,https://medium.com/the-innovation/my-experience-with-the-cncf-certified-kubernetes-administrator-exam-12247d87baf2?source=friends_link&sk=a93428b351503093070df640fcafb921,1*ILKk25-VR3-4E3wT5RBnqQ.png,"<p>I have recently completed the Certified Kubernetes Administrator exam and got a few pings on LinkedIn to share my experience, and therefore, I decided to write this blog down.</p><p>Kubernetes has gained a lot of traction in recent times, and a great way of showcasing your skills is to get certified. The Linux Foundation’s Certified Kubernetes Administrator is one of the most prestigious certifications you can aim for.</p><p>When I say prestigious, I mean it. One good reason for that is that the exam is entirely hands-on. There are no multiple-choice questions and nothing that you need to memorise.</p><p>It is therefore fulfilling, and if you love solving problems, you will undoubtedly enjoy the experience to the fullest. ...</p>"
Awesome Kubernetes Command-Line Hacks,Tips for you to kubectl like a pro,Jul-27,4 min read,In Better Programming,https://medium.com/better-programming/awesome-kubernetes-command-line-hacks-8bd3604e394f?source=friends_link&sk=92409252acb8b8c36a1d8d4752c104b7,0*4ve38-UVey9BKYr1,"<p>Kubernetes administrators spend most of their time keying kubectl commands and writing YAML manifest files. However, what separates an experienced Kubernetes admin from a rookie is the way they use kubectl to their advantage.</p><p>Here are some tips for saving valuable time and making the most out of kubectl.</p><p>Use Aliases</p><p>Every experienced Sysadmin makes use of aliases. That helps them save valuable time typing commands. For example, instead of typing ls -l, most sysadmins use ll . Similarly, for Kubernetes, you can make use of the following helpful aliases.</p><p>k for kubectl</p><p>Use k for kubectl. Why type a seven-letter word if you can do the same thing with one letter? ...</p>"
Choose the Right Kubernetes Hosting Solution,Things to consider while selecting a Kubernetes platform,Jul-24,6 min read,In Better Programming,https://medium.com/better-programming/choose-the-right-kubernetes-hosting-solution-a842878fc594?source=friends_link&sk=791763e4a919db5f474920a1c2e0a0d4,1*fCOBpevfigJ0COX_de0TBQ.jpeg,"<p>The container war is over, and Kubernetes is the clear winner! When it is about running your containers, the clear choice is Kubernetes, and there are no second thoughts about it. But what people don’t know about is that Kubernetes is a complex beast that needs taming.</p><p>Therefore, before you make that decision to install, run, and manage Kubernetes on your own, think twice. ...</p>"
Secure Your Kubernetes Cluster With Pod Security Policies,Pod security best practices with a hands-exercise,Jul-16,6 min read,In Better Programming,https://medium.com/better-programming/secure-your-kubernetes-cluster-with-pod-security-policies-bd511ec6d034?source=friends_link&sk=f61773fbd4280debff4fd876d9640957,1*An-yFGrhzXxF1ZoX5kDfKw.jpeg,"<p>Kubernetes security has always been a source of great interest among system architects. You still have to compromise between administrative control and developer flexibility and velocity to ensure you don’t leave any holes in your cluster.</p><p>There are various areas you need to consider to enable security within your cluster. Typically, cyber-criminals look at ways of taking control of the host worker node by hacking into a Kubernetes application. They can then use that opportunity to shut down your cluster or exploit it for illegal activities.</p><p>One way of preventing such control is by enforcing proper pod security policies within your Cluster, without impacting development velocity and adding admin overhead. ...</p>"
Monitor Your Kubernetes Cluster With Prometheus and Grafana,Using Helm to set up Prometheus and Grafana your Kubernetes cluster,Jul-14,5 min read,In Better Programming,https://medium.com/better-programming/monitor-your-kubernetes-cluster-with-prometheus-and-grafana-1f7d0195e59?source=friends_link&sk=9da23c0650a7cf4db977bb859bcf0e7f,0*z2Mt8-HFC6hPzojI,"<p>Prometheus and Grafana are some of the most popular monitoring solutions for Kubernetes, and they now come as default in most managed clusters such as GKE.</p><p>These tools have recently graduated from the Cloud Native Computing Foundation, which means that they are ready for production use and are first-class citizens among open-source monitoring tools.</p><p>With Helm, installing and managing Prometheus and Grafana on your Kubernetes cluster has become much more straightforward. It not only provides you with a hardened, well-tested setup but also provides a lot of preconfigured dashboards to get you started right away.</p><p>It also gives you the flexibility to adapt both tools according to your use case, which is a plus. While Prometheus offers the core monitoring capability of collecting and receiving logs, indexing them, and optimising storage, Grafana provides a means for visualising the metrics in graphical dashboards. ...</p>"
How to Save Money Google Cloud Platform,Use Cloud Scheduler to start and stop Compute Engine Instances automatically,Jul-03,5 min read,In Better Programming,https://medium.com/better-programming/how-to-save-money-on-google-cloud-platform-22bf4c302d32?source=friends_link&sk=13911a9a97a7d7896658275cb8975703,1*1WZ7bKpNopZVndeHSuqd4g.jpeg,"<p>Google Cloud Platform is one of the fastest-growing cloud platforms, maintaining a steady position at a number three, behind AWS and Azure. It prides itself for its network quality and the edge on data science and engineering.</p><p>Its Kubernetes engine is one of the most mature in the market. And because Kubernetes was Google’s baby, it’s more versatile than Azure’s AKS or AWS’s ECS.</p><p>Compute Instances is one of the most competitive IaaS solutions that Google Cloud offers. With sustained used discounts, it works best for companies running pay as you go instances, rather than other cloud providers.</p><p>Azure is cheaper in the IaaS segment when you use dedicated instances, but that creates vendor lock-in, something that most organisations avoid. A multi-cloud model is the most suitable tactic - most companies are adapting to the times, where cost saving and optimisation are the highest priorities. ...</p>"
Managing Multiple Environments in Terraform,How to use Terraform workspaces to manage multiple states,Jul-01,5 min read,In Better Programming,https://medium.com/better-programming/managing-multiple-environments-in-terraform-5b389da3a2ef?source=friends_link&sk=c89327c9a41b6ef94702dea62400e3fc,0*lU4ggR_EAsvnhnXJ,"<p>Terraform has revolutionised the way we look at infrastructure, and with Cloud, it is a stepping stone toward “everything as code.” That is a quantum leap in the history of computing where everything - including hardware and operating systems - is virtualised and can be defined as code.</p><p>Terraform has simplified the lives of infrastructure architects, admins, and organisations alike, and it helps in building a computing infrastructure that is ever-changing as well as more scalable and elastic than ever before.</p><p>Terraform uses a declarative, high-level, and immutable set of code to define infrastructure. Infrastructure admins would typically just declare what infrastructure they would like to have without worrying about the internal API calls. ...</p>"
Effective Ways of Managing Your Terraform State,Collaboration in your team with remote-state back ends,Jun-26,5 min read,In Better Programming,https://medium.com/better-programming/effective-ways-of-managing-your-terraform-state-44bc53043d5?source=friends_link&sk=a2f457764e1cc148e6e5e568ad851965,1*BTQjw2waLJ_-5pnatoRvZg.jpeg,"<p>Terraform is one of the most popular infrastructure as code (IaC) tools available. It isn’t only one of the most active open-source projects, but it’s also cutting edge to the point that whenever AWS releases a new service, Terraform has a resource ready even before AWS’s CloudFormation.</p><p>Terraform is a declarative IaC software. That means admins declare what infrastructure they want, instead of worrying about the nitty-gritty of writing scripts to provision them. That makes Terraform extremely simple to learn and manage.</p><p>It’s incredibly flexible and supports multiple cloud providers. It’s extendable to the point that any cloud provider can create its provider plugins and release it to its users. The users can then use HashiCorp Configuration Language (HCL) scripts for templating their infrastructure deployments and automating infrastructure like never before. ...</p>"
Choosing the Right Git Branching Strategy for Your Team,Analysis of Multiple Branching Strategies with a Flowchart,Jun-25,6 min read,In Dev Genius,https://medium.com/dev-genius/choosing-the-right-git-branching-strategy-for-your-team-2a53144fcbdb?source=friends_link&sk=d60b50a001d5fcd4a2b43a0ef861b615,1*C208VoVCv8VTMYso-paPYQ.png,"<p>Git is the most popular version control and source code management tool currently available in the market. It has revolutionised the way we looked at version control with its distributed repository structure that helps developers detach and work on their local repo and attach back to push changes to the remote repo. Git maintains the same version control within the local repo as it keeps in the remote, as the local repo is just a clone of the remote.</p><p>Every organisation using Git have some form of Branching Strategy if they work in a team and deliver useful software. There is no right branching strategy, and it has always been a point of contention between developers and industry experts about which one is the best. ...</p>"
Monitor your Kubernetes Resources With kubewatch,"Watch Kubernetes events,  and send notifications to Slack",Jun-24,3 min read,In Better Programming,https://medium.com/better-programming/monitor-your-kubernetes-resources-with-kubewatch-d40ecf420f28?source=friends_link&sk=71e16255d194a3532e845a2a258a3b10,1*BYxPEIohx99eJA403WI4wQ.jpeg,"<p>Kubernetes is a powerful container orchestrator that provides you with many features to manage your application workloads. The sheer flexibility of Kubernetes have further popularised containers, and it’s now a standard in most setups.</p><p>Though Kubernetes is feature-rich, it doesn’t provide an out-of-the-box monitoring solution. You’d need to install monitoring tools such as Prometheus or Datadog on top of your cluster.</p><p>Kubewatch is an open-source Kubernetes watcher written in Go and developed by Bitnami Labs. ...</p>"
Kubernetes Services over HTTPS With Istio’s Secure Gateways,Expose your microservices over TLS to the external world,Jun-19,5 min read,In Better Programming,https://medium.com/better-programming/kubernetes-services-over-https-with-istios-secure-gateways-210b2ce91b71?source=friends_link&sk=9b3dfbacb57239c1c6e7230273dd556e,1*mlMaK0mb-DJWTg7vpcO47w.jpeg,"<p>Istio provides you with many features that help you connect, secure, control and observe your microservices. It gives Kubernetes much control on top of what it’s generally capable of. Istio gateways are a powerful resource that allow you to define entry points into your service mesh from the external world.</p><p>In the previous article, we exposed the BookInfo application to the HTTP protocol. ...</p>"
Encrypting Kubernetes Secrets With Sealed Secrets,How to store your Kubernetes secrets in Git,Jun-15,7 min read,In Better Programming,https://medium.com/better-programming/encrypting-kubernetes-secrets-with-sealed-secrets-fe363149a211?source=friends_link&sk=c8be1a52530b09adc8983029359d0169,1*l9La4SoBS2-yDkLtW1ZlIw.jpeg,"<p>GitOps is a way of managing all your configurations through Git. It allows teams to version and manage environment configuration and infrastructure through declarative code.</p><p>While Kubernetes allows teams to manage their container workloads using resource manifests, storing Kubernetes Secrets in a Git repository has always been a challenge.</p><p>Kubernetes Secrets are resources that help you store sensitive information, such as passwords, keys, certificates, OAuth tokens, and SSH keys.</p><p>It decouples secret management and utilisation. While admins can create secrets, developers can simply refer to the Secret resource in their manifests instead of hardcoding the password within their pod definition.</p><p>That all sounds good, but the problem with Kubernetes secrets is they store sensitive information as a base64 string. ...</p>"
How to Harden Your Containers With Distroless Docker Images,Use distroless images to secure your containers Kubernetes,Jun-04,6 min read,In Better Programming,https://medium.com/better-programming/how-to-harden-your-containers-with-distroless-docker-images-c2abd7c71fdb?source=friends_link&sk=f52e1261a4590b11e1a828f49b6fa3e5,1*BzI7kEVusRnhIQnS0TCecA.jpeg,"<p>Containers have changed the way we look at technology infrastructure. It is a quantum leap in the way we run our applications. Container orchestration, along with the Cloud, provides us with a capability of seamless expansion on a near-infinite scale.</p><p>Containers, by definition, are supposed to contain your application and its runtime dependencies. However, in reality, they contain much more than that. A standard container base image contains a package manager, shells, and other programs that you would find in a standard Linux distribution.</p><p>While all these aspects are necessary for building container images, they need not form the part of the image. For example, once you’ve installed the packages, you no longer need apt within the container. ...</p>"
How to Harden Your Kubernetes Cluster With Kube Bench,Comprehensive CIS benchmark testing for your Kubernetes cluster,Jun-03,5 min read,In Better Programming,https://medium.com/better-programming/how-to-harden-your-kubernetes-cluster-with-kube-bench-fae71eb24d8?source=friends_link&sk=42775f1c3a29862239dfc10b2605d31e,1*yxvYBRAlEzI_iCBLyiU0IA.jpeg,"<p>Kubernetes is no doubt the most popular container orchestration platform. Its success is partly due to the flexibility and the number of features it offers. Though an open-source tool, it has a huge developer base from leading tech companies on the planet, including Google.</p><p>Kubernetes security has been a critical talking point in recent times. Because of the growing interest in Kubernetes and the fact that more and more organisations are adopting it to run their production applications, cybercriminals are looking at ways of exploiting some common misconfiguration of Kubernetes.</p><p>Configuring Kubernetes security is a task. There are various ways of configuring Kubernetes, and it provides a great deal of flexibility to allow organisations to adapt it to their own security needs. However, with time some standards and best practices in Kubernetes security have evolved. ...</p>"
Demystifying DevOps,DevOps is no longer an option — either you adopt it or you lose,Jun-03,7 min read,In Better Programming,https://medium.com/better-programming/demystifying-devops-840aa292054a?source=friends_link&sk=4ab29123a559742f16a854ed05623350,1*jRGHzBpG_Yj9Jh3yh8bnOw.png,"<p>DevOps has been here for a while and taken the entire tech industry by storm. There was a time when there was much confusion about what DevOps is, what problem it solves, and whether it’s really needed.</p><p>It seems to have settled now, and more than 90% of the tech industry have either adopted DevOps or are on the journey of utilising it. DevOps is no longer an option: either you embrace it or you lose the competition.</p><p>While most tech companies are adopting DevOps, there are a multitude of developments going on. ...</p>"
Locality-Based Load Balancing in Kubernetes Using Istio,Route requests within your service mesh using geographic location to improve performance and save money,Jun-01,6 min read,In Better Programming,https://medium.com/better-programming/locality-based-load-balancing-in-kubernetes-using-istio-a4a9defa05d3?source=friends_link&sk=ea300c2f039dc8f30c690f01dae46327,0*-cDFcKrvzEu2E4u1,"<p>Istio is one of the most feature-rich and robust service meshes for Kubernetes on the market. It is an open-source tool developed by Google, Lyft, and IBM and is quickly gaining popularity.</p><p>One of its significant features is traffic management. Istio provides a Layer 7 Proxy that helps you route traffic on multiple factors, such as HTTP headers, source IP, URL path, and hostname.</p><p>Organisations that have a global presence often run a high-scale global service mesh that involves microservices spread across the globe. Microservices need to interact with each other to provide complete functionality to customers. ...</p>"
How to Validate Your Kubernetes Cluster With Sonobuoy,Run comprehensive conformance testing for your Kubernetes cluster,May-28,4 min read,In Better Programming,https://medium.com/better-programming/how-to-validate-your-kubernetes-cluster-with-sonobuoy-c91b282908fe?source=friends_link&sk=62e7ec05fa19a24411e7979ffe121dcf,1*0jO90OhiZvz45pU7S869hA.jpeg,"<p>Kubernetes is the de facto leader in container orchestration. As Kubernetes is an open-source, robust, and flexible platform, there are many implementations of it available in the market.</p><p>You can host cloud-native managed Kubernetes clusters (such as GKE, AKS, and ECS), run an on-premise installation with kubeadm, or set up Kubernetes the hard way. There are multiple ways of hosting Kubernetes, and each has its use cases.</p><p>With time, specific standards have evolved in the industry, and most setups need to conform to them for optimal performance and security.</p><p>As Kubernetes has multiple moving parts, it baffles most system administrators, and most of them wonder whether their configuration is correct and set up the way it should be. ...</p>"
